1,"gemeente Amsterdam,  sectie 0,  nummer 4731, :::~ ~f0",2001-01-02_Akte_van_Splitsing_E5985-1_Hyp4_dl_17143_nr_12.pdf
2,4768  A;,2001-01-02_Akte_van_Splitsing_E5985-1_Hyp4_dl_17143_nr_12.pdf
8,een woning,2001-01-02_Akte_van_Splitsing_E5985-1_Hyp4_dl_17143_nr_12.pdf
8,"gemeente  Amsterdam,  sectie  0, nummer 4768  A-36,",2001-01-02_Akte_van_Splitsing_E5985-1_Hyp4_dl_17143_nr_12.pdf
8,met bijbehorende berging,2001-01-02_Akte_van_Splitsing_E5985-1_Hyp4_dl_17143_nr_12.pdf
34,voornoemde akte uitgifte in  voortdurende  erfpacht,2001-01-02_Akte_van_Splitsing_E5985-1_Hyp4_dl_17143_nr_12.pdf
6,een woning  gelegen op de  eerste verdieping met bijbehorende berging,2001-01-02_Akte_van_splitsing_E5985-27_Hyp4_dl_17143_nr_12.pdf
6,"kadastraal bekend  als  gemeente  Amsterdam,  sectie 0, nurmner 4768  A-25,",2001-01-02_Akte_van_splitsing_E5985-27_Hyp4_dl_17143_nr_12.pdf
25,23  tot en met 33,2001-01-02_Akte_van_splitsing_E5985-27_Hyp4_dl_17143_nr_12.pdf
25,"woning;  handel,  nering  of bedrijf mag daarin niet worden  - - - -  uitgeoefend;  bij  deze woningen behoort onverbrekelijk een berging gelegen in het souterrain van het gebouw;",2001-01-02_Akte_van_splitsing_E5985-27_Hyp4_dl_17143_nr_12.pdf
3,". hèt terrein is bestemd om te worden bebouwd met zesendertig vrije ""' sector koopwoningen cum annexis, g.ezamenlijk groot drieënveertig en een parkeergaragè are negen centiare parkeerplaatsen met een totaal  ----'are tien centiare, die  ----------vervolgens als zodantgdlenen te worden gebruikt;. . . . . .  !\  tenbehoeve van /  bruto""vloeroppervlakte . .  ' .  . "", '",2001-03-19_akte_van_uitgifte_E6521_Hyp4_dl_17279_nr_2.pdf
3,bijzondere bepalingen,2001-03-19_akte_van_uitgifte_E6521_Hyp4_dl_17279_nr_2.pdf
2,als  tuin en mag slechts  als  zodanig worden gebruikt,2001-04-10_Akte_van_Uitgifte_E7340-1_Hyp4_dl_17329_nr_32.pdf
3,"appartementsrecht 33  heeft als bestemming één winkel/bedrijfsruimte met berging, groot 57,5  m2  bruto vloer oppervlak en tuin;",2001-04-23_Besluit_tot_splitsing_Kijkduinstraat_en_Gibraltarstraat_E1919-1_en_E1919-2_.pdf
1,gemeente Amsterdam,2001-05-16_Akte_van_Uitgifte_E7456-2_Hyp4_dl_17395_nr_19.pdf
1,E 7456/1,2001-05-16_Akte_van_Uitgifte_E7456-2_Hyp4_dl_17395_nr_19.pdf
1,Osdorperweg 90 en Vrije Geer,2001-05-16_Akte_van_Uitgifte_E7456-2_Hyp4_dl_17395_nr_19.pdf
2,;,2001-05-16_Akte_van_Uitgifte_E7456-2_Hyp4_dl_17395_nr_19.pdf
3,erf en dient als zodanig te --worden gebruikt;,2001-05-16_Akte_van_Uitgifte_E7456-2_Hyp4_dl_17395_nr_19.pdf
1,"gemeente Sloten, sectie C,  nummer8427,",2001-07-23_Akte_van_Splitsing_E2201_Hyp4_dl_17530_nr_43.pdf
5,"woning, met bijbehorende tuin en berging",2001-07-23_Akte_van_Splitsing_E2201_Hyp4_dl_17530_nr_43.pdf
5,"gemeente Sloten, sectie C, complexaanduiding 10522-A, - - - -  appartementsindex 8;",2001-07-23_Akte_van_Splitsing_E2201_Hyp4_dl_17530_nr_43.pdf
17,GOEDKEURING/MEDEWERKING GEMEENTE AMSTERDAM,2001-07-23_Akte_van_Splitsing_E2201_Hyp4_dl_17530_nr_43.pdf
17,vertegenwoordiging van de gemeente Amsterdam,2001-07-23_Akte_van_Splitsing_E2201_Hyp4_dl_17530_nr_43.pdf
17,onder de volgende voorwaarden en bepalingen:,2001-07-23_Akte_van_Splitsing_E2201_Hyp4_dl_17530_nr_43.pdf
18,"koopwoning van vierenzestig vierkante meter (64 m2) bruto vloeroppervlak (BVO) en drieënzestig en vijf/tiende vierkante meter (63,5 m2) tuin,",2001-07-23_Akte_van_Splitsing_E2201_Hyp4_dl_17530_nr_43.pdf
18,"index 8,",2001-07-23_Akte_van_Splitsing_E2201_Hyp4_dl_17530_nr_43.pdf
2,akte  vestiging  erfpacht,2001-08-20_Akte_van_Splitsing_en_Beeindiging_erfpacht_EW5021_1_Hyp4_dl_17581_nr_44.pdf
2,DE  GEMEENTE  AMSTERDAM,2001-08-20_Akte_van_Splitsing_en_Beeindiging_erfpacht_EW5021_1_Hyp4_dl_17581_nr_44.pdf
2,14224  nummer  46,2001-08-20_Akte_van_Splitsing_en_Beeindiging_erfpacht_EW5021_1_Hyp4_dl_17581_nr_44.pdf
4,"AP  nummer3433,",2001-08-20_Akte_van_Splitsing_en_Beeindiging_erfpacht_EW5021_1_Hyp4_dl_17581_nr_44.pdf
2,"de (zijnde een publiekrechtelijke rechtspersoon, ------------",2001-10-05_Akte_van_Horizontale_Splitsing_en_Conversie_EW1573-158.tm.209_Hyp4_dl_17678_nr_34.pdf
3,"Amsterdam, sectie A nummer 7407",2001-10-05_Akte_van_Horizontale_Splitsing_en_Conversie_EW1573-158.tm.209_Hyp4_dl_17678_nr_34.pdf
